ジャンル,カテゴリ,質問,深堀１,深堀２,深堀３
必ず聞かれる,共通,自己紹介をお願いします,エピソードを詳しく,なぜそのように考えたか,どう入社後に活かせるか
必ず聞かれる,共通,自己PRをお願いします。,エピソードを詳しく,なぜそのように考えたか,どう入社後に活かせるか
必ず聞かれる,共通,志望動機をお願いします。,エピソードを詳しく,なぜそのように考えたか,どう入社後に活かせるか
必ず聞かれる,社会人,転職理由を教えてください。,エピソードを詳しく,なぜそのように考えたか, どう入社後に活かせるか
必ず聞かれる,学生,学生時代に最も力を入れたことは何ですか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
必ず聞かれる,共通,何か質問はありますか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
基本情報・人柄,社会人,なぜ前職をおやめになりましたか？理由をお聞かせください, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
基本情報・人柄,共通,あなたの強みと弱みを教えてください。, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
基本情報・人柄,共通,これまでの経験で、最も困難だったことは何ですか？どのように乗り越えましたか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
基本情報・人柄,共通,チームで働く上で、あなたが最も重視することは何ですか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
基本情報・人柄,共通,ストレスをどのように管理していますか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
企業理解・将来,共通,入社後、どのような成長をしたいですか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
スキル・経験,社会人,前職での成功体験について教えてください。, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
スキル・経験,社会人,前職での失敗経験について教えてください。, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
スキル・経験,社会人,前職で得たスキルや経験を、どのように活かせるとお考えですか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
スキル・経験,学生,学業以外で熱中したことはありますか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
スキル・経験,学生,アルバイト経験について教えてください。, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
基本情報・人柄,共通,あなたの長所と短所を教えてください。, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
基本情報・人柄,共通,趣味や特技はありますか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
基本情報・人柄,共通,休日はどのように過ごしていますか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
基本情報・人柄,共通,あなたは周りからどんな人だといわれますか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
スキル・経験,社会人,これまでのキャリアで、最も印象に残っている出来事は何ですか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
スキル・経験,社会人,現在の仕事内容について詳しく教えてください。, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
スキル・経験,学生,卒業研究（卒業論文）のテーマと内容について教えてください。, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
企業理解・将来,共通,弊社について、どのような印象をお持ちですか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
企業理解・将来,共通,入社後、どのような形で貢献したいですか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
企業理解・将来,共通,5年後、10年後、どのような自分になっていたいですか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
企業理解・将来,共通,当社の企業文化について、どのように感じますか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
企業理解・将来,共通,当社の製品やサービスについて、改善点や新しいアイデアはありますか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
企業理解・将来,社会人,前職で培った経験を、どのように当社で活かせるとお考えですか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
企業理解・将来,社会人,当社の競合他社について、どのような認識をお持ちですか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
企業理解・将来,学生,入社後、どのようなスキルを身につけていきたいですか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
企業理解・将来,学生,当社の事業内容について、特に興味を持った点はどこですか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
企業理解・将来,学生,学生時代に学んだことが、当社の業務でどのように活かせるとお考えですか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
企業理解・将来,共通,なぜこの職種を志望されましたか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
その他,共通,最近気になるニュースは？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
その他,共通,就職活動の状況を教えてください, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
その他,共通,働く上で大切なことをお聞かせください, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
その他,共通,最近一番楽しかったことは何ですか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
その他,共通,最近読んだ本は何ですか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
その他,共通,最近怒ったことは何ですか？, エピソードを詳しく, なぜそのように考えたか, どう入社後に活かせるか
